Name,Short description,Last price,New price,Image name
Apple iPhone 13 mini 128 ГБ Синий,"5.4"" | 12 Мп | 4 ГБ | Single SIM",14 999 лей,13 999 лей,darwin-apple-iphone-13-mini-128-gb-blue-30908.jpg
Apple iPhone 13 mini 512 ГБ Розовый,"5.4"" | 12 Мп | 4 ГБ | Single SIM",21 999 лей,20 999 лей,darwin-apple-iphone-13-mini-4-gb-512-gb-pink-093.jpg
Apple iPhone 13 mini 512 ГБ Midnight,"5.4"" | 12 Мп | 4 ГБ | Single SIM",21 999 лей,20 999 лей,darwin-apple-iphone-13-mini-4-gb-512-gb-midnight-02.jpg
Apple iPhone 13 mini 256 ГБ Синий,"5.4"" | 12 Мп | 4 ГБ | Single SIM",17 499 лей,16 399 лей,darwin-apple-iphone-13-mini-256-gb-blue-30913.jpg
Apple iPhone 13 mini 512 ГБ Starlight,"5.4"" | 12 Мп | 4 ГБ | Single SIM",21 999 лей,20 999 лей,darwin-apple-iphone-13-mini-4-gb-512-gb-starlight-050.jpg
Apple iPhone 13 Pro 256 ГБ Небесно Голубой,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,29 499 лей,darwin-apple-iphone-13-pro-6-gb-256-gb-sierra-blue-095.jpg
Apple iPhone 13 Pro 256 ГБ Серебристый,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,29 499 лей,darwin-apple-iphone-13-pro-256-gb-silver-31115.jpg
Apple iPhone 13 Pro 1 ТБ Серебристый,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,34 999 лей,darwin-apple-iphone-13-pro-1-tb-silver-31000.jpg
Apple iPhone 13 Pro 128 ГБ Небесно Голубой,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,27 499 лей,darwin-apple-iphone-13-pro-128-gb-sierra-blue-30954.jpg
Apple iPhone 13 Pro 128 ГБ Графитовый,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,27 499 лей,darwin-apple-iphone-13-pro-6-gb-128-gb-graphite-082.jpg
Apple iPhone 13 Pro 512 ГБ Серебристый,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,32 999 лей,darwin-apple-iphone-13-pro-512-gb-silver-30998.jpg
Apple iPhone 13 Pro 256 ГБ Графитовый,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,29 499 лей,darwin-apple-iphone-13-pro-256-gb-graphite-30992.jpg
Apple iPhone 13 Pro 128 ГБ Серебристый,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,27 499 лей,darwin-apple-iphone-13-pro-6-gb-128-gb-silver-059.jpg
Apple iPhone 13 Pro 1 ТБ Небесно Голубой,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,34 999 лей,darwin-apple-iphone-13-pro-1-tb-sierra-blue-31002.jpg
Apple iPhone 13 Pro 512 ГБ Небесно Голубой,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,32 999 лей,darwin-apple-iphone-13-pro-6-gb-512-gb-sierra-blue-015.jpg
Apple iPhone 13 Pro 128 ГБ Золото,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,27 499 лей,darwin-apple-iphone-13-pro-6-gb-128-gb-gold-071.jpg
Apple iPhone 13 Pro 512 ГБ Графитовый,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,32 999 лей,darwin-apple-iphone-13-pro-6-gb-512-gb-graphite-019.jpg
Apple iPhone 13 Pro 512 ГБ Золото,"6.1"" | 12 Мп | 6 ГБ | Single SIM",None,32 999 лей,darwin-apple-iphone-13-pro-512-gb-gold-30995.jpg
